keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name
_ql_p,arenb,zwhj_,_fudk,gsito,vcymx,arensito-1*
ql_p_,arenb,zw_hj,_fudk,gsito,vcymx,arensito-2
qwert,asdfg,zxcvb,yuiop,hjkl_,nm___,qwerty-1
qwert,asdfg,zxcvb,yuio_,hjklp,nm___,qwerty-2
___py,aoeui,_qjkx,fgcrl,dhtns,bmwvz,dworak-modern
qwfpg,arstd,zxcvb,jluy_,hneio,km___,colemak
___py,aoeui,zqjkx,fgcrl,dhtns,bmwv_,dworak-2
qwfpb,arstg,zxcdv,jluy_,mneio,kh___,colemak-ortho
qdrwb,ashtg,zxmcv,jfup_,yneoi,kl___,workman
qwdfk,asetg,zxcvb,jurl_,ynioh,pm___,norman
ypouj,inea_,qz___,kdlcw,mhtsr,bfgvx,mtgap-1
_fhdk,oantg,qxbpz,jcul_,mseri,yw_v_,mtgap-2
wcdlk,rsthv,qbgmx,jyou_,pneia,zf___,apt
qwjfg,asetd,zxcvb,ypul_,hnior,km___,asset
qhou_,jieay,xk___,glrfb,dtsnp,vmcwz,breakl-43
wpdfg,rntsy,zbkcv,qxou_,mhaei,jl___,blaze-colstag
__ucv,aoesg,_x_wz,qfdly,bntri,phmkj,boo
wlypk,crstb,jvdgq,zxou_,fneia,mh___,canary-angle-mod
___py,oaeiu,zxcvj,qfgrk,dhtns,lmwb_,capewell-dvorak
_ymdf,aersg,xzcv_,jpluq,btnio,kwh__,capewell-0.9.3
qgmlw,dstnr,zxcvj,yfub_,iaeoh,kp___,carpax-qgmlwy
qwyrf,dsatn,zxcvj,mlubp,hoei_,gk___,carpax-qwyrfm
wpdfg,rntsy,bkcvz,qxou_,mhaei,ml___,blaze-rowstag
_ymdg,aersf,xzcvj,_wh__,ktnio,bpluq,capewell-0.9.2
qwkrf,dsatn,zxcvb,yuijp,hoeil,gm___,carpax-qwkrfy
qwfpb,arstg,xcdvz,jluy_,mneio,kh___,colemak-angle-mod
qplcj,rntsg,zbmwv,xfou_,yheia,kd___,ctgap
vlhkq,srntw,zxmdb,jfou_,ycaei,pg___,dhorf
byou_,hiae_,kjxw_,qdngv,ztrsc,_mlfp,engram*
